Date,SPX_Index,Large_Value_Index,Small_Growth_Index,EAFE_Index,EM_Index
4/7/2017,6439.2878,1963.2413,907.7512,3196.9045,1657.6435
4/10/2017,6444.0779,1965.4182,909.6254,3198.8221,1651.4624
4/11/2017,6435.7615,1964.171,914.8244,3211.1523,1645.5349
4/12/2017,6411.6608,1954.968,904.5063,3208.3333,1652.1289
4/13/2017,6367.9818,1936.9962,897.7079,3198.7476,1660.2912
4/14/2017,6367.9818,1936.9962,897.7079,3194.7399,1656.1418
4/17/2017,6422.864,1954.2681,908.0528,3212.6273,1660.1899
4/18/2017,6404.4026,1947.0691,908.5085,3189.5278,1651.6494
4/19/2017,6394.2961,1940.782,914.1383,3190.7063,1643.4991
4/20/2017,6442.7628,1955.0562,925.2482,3206.9809,1653.0652
4/21/2017,6423.209,1945.9149,920.9255,3202.0105,1658.9909
4/24/2017,6492.9631,1967.4623,933.0689,3283.6626,1676.0378
4/25/2017,6532.5092,1979.8692,942.5275,3303.0135,1695.5423
4/26/2017,6529.4254,1978.515,946.3338,3308.6689,1695.4116
4/27/2017,6533.6981,1974.1285,949.0189,3304.7316,1690.607
4/28/2017,6521.2637,1964.2468,940.0162,3301.607,1687.7309
5/1/2017,6532.5828,1965.0599,945.3807,3311.4468,1690.8373
5/2/2017,6540.3508,1964.1526,940.6856,3326.6103,1705.7066
5/3/2017,6533.3224,1964.4474,934.1455,3322.4415,1701.6745
5/4/2017,6537.49,1960.502,934.0064,3340.7734,1692.0783
5/5/2017,6564.3203,1971.0777,940.2907,3362.884,1689.0574
5/8/2017,6565.2304,1969.5922,934.3042,3367.1992,1700.9963
5/9/2017,6558.7832,1962.8179,937.3602,3356.0929,1710.6031
5/10/2017,6568.7219,1968.8094,943.8342,3360.5013,1718.3843
5/11/2017,6556.6201,1963.2442,938.8403,3355.1163,1727.4824
5/12/2017,6547.0573,1956.9562,935.5989,3373.0668,1731.0515
5/15/2017,6579.1335,1969.4152,943.2946,3386.9105,1744.7594
5/16/2017,6575.9159,1966.6451,944.8161,3416.2732,1753.2044
5/17/2017,6458.3242,1932.9233,917.7845,3407.2293,1742.1978
5/18/2017,6482.247,1935.728,921.8441,3381.6142,1707.2761
5/19/2017,6526.2816,1951.944,925.3595,3407.2402,1720.1333
5/22/2017,6560.0732,1959.6627,932.3738,3427.6056,1734.1013
5/23/2017,6572.2839,1966.5598,933.0624,3426.0407,1735.6158
5/24/2017,6588.8988,1968.0151,936.367,3417.9956,1736.6628
5/25/2017,6619.0819,1970.0925,938.4538,3426.9289,1753.1577
5/26/2017,6621.9958,1970.087,937.7527,3414.4347,1757.6059
5/29/2017,6621.9958,1970.087,937.7527,3411.8395,1754.579
5/30/2017,6615.0515,1964.2503,930.7891,3412.0664,1748.7006
5/31/2017,6613.0311,1962.3214,931.4675,3424.9237,1737.8771
6/1/2017,6663.8975,1980.6792,949.7249,3434.3931,1743.5668
6/2/2017,6688.7132,1979.659,958.5463,3473.9399,1755.4647
6/5/2017,6680.8249,1976.5286,951.9399,3465.5682,1759.9917
6/6/2017,6662.2753,1972.9071,951.8996,3453.1326,1757.1934
6/7/2017,6674.116,1973.7196,953.3083,3452.1672,1757.0571
6/8/2017,6676.0729,1977.5716,963.6834,3436.1252,1763.2801
6/9/2017,6670.5482,1994.172,959.1962,3433.4786,1761.7977
6/12/2017,6664.5036,1998.3062,956.8274,3421.9734,1745.9021
6/13/2017,6696.2937,2004.8105,962.4858,3439.0999,1748.171
6/14/2017,6690.103,2000.4079,958.2829,3457.5563,1755.0191
6/15/2017,6676.3531,1997.182,952.9231,3405.5698,1737.7505
6/16/2017,6678.2951,2000.7497,951.7874,3434.4205,1736.9275
6/19/2017,6734.1241,2011.7185,963.392,3450.7524,1754.082
6/20/2017,6689.0953,1997.0975,954.5156,3425.3601,1746.9727
6/21/2017,6685.7811,1986.2175,957.8688,3416.3573,1743.2814
6/22/2017,6682.8096,1984.9586,962.7472,3422.6487,1749.1029
6/23/2017,6693.2408,1987.1229,970.7167,3428.4908,1754.0903
6/26/2017,6695.4296,1993.7444,969.6805,3438.0914,1769.7067
6/27/2017,6641.3791,1984.4424,956.0751,3435.5138,1765.607
6/28/2017,6701.1904,1999.9157,973.4251,3451.6157,1757.9367
6/29/2017,6643.7809,1991.8492,962.7171,3442.5421,1761.9354
